,id,year,category,laureate_type,full_name,gender,birth_date,birth_city,birth_city_now,birth_country,birth_country_now,birth_continent,death_date,prize_share,prize,motivation,affiliation_1_name,affiliation_1_city,affiliation_1_country,affiliation_2_name,affiliation_2_city,affiliation_2_country,org_city_now,org_country_now,org_continent,affiliation_3_name,affiliation_3_city,affiliation_3_country,affiliation_4_name,affiliation_4_city,affiliation_4_country
0,745,2001,Economic Sciences,Individual,A. Michael Spence,male,1943-00-00,"Montclair, NJ","Montclair, NJ",USA,USA,North America,NaN,1/3,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001,for their analyses of markets with asymmetric information,Stanford University,"Stanford, CA",USA,,,,,,,,,,,,
1,102,1975,Physics,Individual,Aage Niels Bohr,male,1922-06-19,Copenhagen,Copenhagen,Denmark,Denmark,Europe,2009-09-08,1/3,The Nobel Prize in Physics 1975,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Niels Bohr Institute,Copenhagen,Denmark,,,,,,,,,,,,
2,779,2004,Chemistry,Individual,Aaron Ciechanover,male,1947-10-01,Haifa,Haifa,British Protectorate of Palestine,Israel,Asia,NaN,1/3,The Nobel Prize in Chemistry 2004,for the discovery of ubiquitin-mediated protein degradation,Technion - Israel Institute of Technology,Haifa,Israel,,,,,,,,,,,,
3,259,1982,Chemistry,Individual,Aaron Klug,male,1926-08-11,Zelvas,Zelvas,Lithuania,Lithuania,Europe,2018-11-20,1,The Nobel Prize in Chemistry 1982,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,,,,,,,,,,
4,1004,2021,Literature,Individual,Abdulrazak Gurnah,male,1948-00-00,NaN,NaN,NaN,NaN,NaN,NaN,1,The Nobel Prize in Literature 2021,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,,,,,,,,,,,,,,,
5,114,1979,Physics,Individual,Abdus Salam,male,1926-01-29,Jhang Maghiāna,Jhang Maghiāna,India,Pakistan,Asia,1996-11-21,1/3,The Nobel Prize in Physics 1979,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",International Centre for Theoretical Physics,Trieste,Italy,Imperial College,London,United Kingdom,,,,,,,,,
6,982,2019,Economic Sciences,Individual,Abhijit Banerjee,male,1961-02-21,Mumbai,Mumbai,India,India,Asia,NaN,1/3,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2019,for their experimental approach to alleviating global poverty,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,,,,,,,,,,,,
7,981,2019,Peace,Individual,Abiy Ahmed Ali,male,1976-08-15,Beshasha,Beshasha,Ethiopia,Ethiopia,Africa,NaN,1,The Nobel Peace Prize 2019,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",,,,,,,,,,,,,,,
8,843,2009,Chemistry,Individual,Ada E. Yonath,female,1939-06-22,Jerusalem,Jerusalem,British Mandate of Palestine,Israel,Asia,NaN,1/3,The Nobel Prize in Chemistry 2009,for studies of the structure and function of the ribosome,Weizmann Institute of Science,Rehovot,Israel,,,,,,,,,,,,
9,866,2011,Physics,Individual,Adam G. Riess,male,1969-12-16,"Washington, D.C.","Washington, D.C.",USA,USA,North America,NaN,1/4,The Nobel Prize in Physics 2011,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Johns Hopkins University,"Baltimore, MD",USA,Space Telescope Science Institute,"Baltimore, MD",USA,,,,,,,,,
10,199,1939,Chemistry,Individual,Adolf Friedrich Johann Butenandt,male,1903-03-24,Bremerhaven-Lehe,Bremerhaven-Lehe,Germany,Germany,Europe,1995-01-18,1/2,The Nobel Prize in Chemistry 1939,for his work on sex hormones,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,Berlin University,Berlin,Germany,,,,,,,,,
11,164,1905,Chemistry,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,male,1835-10-31,Berlin,Berlin,Prussia,Germany,Europe,1917-08-20,1,The Nobel Prize in Chemistry 1905,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",Munich University,Munich,Germany,,,,,,,,,,,,
12,185,1928,Chemistry,Individual,Adolf Otto Reinhold Windaus,male,1876-12-25,Berlin,Berlin,Germany,Germany,Europe,1959-06-09,1,The Nobel Prize in Chemistry 1928,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,Goettingen University,Göttingen,Germany,,,,,,,,,,,,
13,541,1980,Peace,Individual,Adolfo Pérez Esquivel,male,1931-11-26,Buenos Aires,Buenos Aires,Argentina,Argentina,South America,NaN,1,The Nobel Peace Prize 1980,"for being a source of inspiration to repressed people, especially in Latin America",,,,,,,,,,,,,,,
14,292,1999,Chemistry,Individual,Ahmed H. Zewail,male,1946-02-26,Damanhur,Damanhur,Egypt,Egypt,Africa,2016-08-02,1,The Nobel Prize in Chemistry 1999,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,California Institute of Technology (Caltech),"Pasadena, CA",USA,,,,,,,,,,,,
15,853,2010,Chemistry,Individual,Akira Suzuki,male,1930-09-12,Mukawa,Mukawa,Japan,Japan,Asia,NaN,1/3,The Nobel Prize in Chemistry 2010,for palladium-catalyzed cross couplings in organic synthesis,Hokkaido University,Sapporo,Japan,,,,,,,,,,,,
16,978,2019,Chemistry,Individual,Akira Yoshino,male,1948-01-30,Suita,Suita,Japan,Japan,Asia,NaN,1/3,The Nobel Prize in Chemistry 2019,for the development of lithium-ion batteries,Asahi Kasei Corporation,Tokyo,Japan,Meijo University,Nagoya,Japan,,,,,,,,,
17,819,2007,Peace,Individual,Albert Arnold (Al) Gore  Jr.,male,1948-03-31,"Washington, D.C.","Washington, D.C.",USA,USA,North America,NaN,1/2,The Nobel Peace Prize 2007,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",,,,,,,,,,,,,,,
18,1012,2022,Physics,Individual,Alain Aspect,male,1947-06-15,Agen,Agen,France,France,Europe,NaN,1/3,The Nobel Prize in Physics 2022,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",Institut d’Optique Graduate School – Université Paris-Saclay,Paris,France,École Polytechnique,Palaiseau,France,,,,,,,,,
19,729,2000,Chemistry,Individual,Alan J. Heeger,male,1936-01-22,"Sioux City, IA","Sioux City, IA",USA,USA,North America,NaN,1/3,The Nobel Prize in Chemistry 2000,for the discovery and development of conductive polymers,University of California,"Santa Barbara, CA",USA,,,,,,,,,,,,
20,376,1963,Physiology or Medicine,Individual,Alan Lloyd Hodgkin,male,1914-02-05,Banbury,Banbury,United Kingdom,United Kingdom,Europe,1998-12-20,1/3,The Nobel Prize in Physiology or Medicine 1963,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,University of Cambridge,Cambridge,United Kingdom,,,,,,,,,,,,
21,730,2000,Chemistry,Individual,Alan G. MacDiarmid,male,1927-04-14,Masterton,Masterton,New Zealand,New Zealand,Oceania,2007-02-07,1/3,The Nobel Prize in Chemistry 2000,for the discovery and development of conductive polymers,University of Pennsylvania,"Philadelphia, PA",USA,,,,,,,,,,,,
22,11,1907,Physics,Individual,Albert Abraham Michelson,male,1852-12-19,Strelno,Strzelno,Prussia,Poland,Europe,1931-05-09,1,The Nobel Prize in Physics 1907,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,University of Chicago,"Chicago, IL",USA,,,,,,,,,,,,
23,628,1957,Literature,Individual,Albert Camus,male,1913-11-07,Mondovi,Mondovi,French Algeria,Algeria,Africa,1960-01-04,1,The Nobel Prize in Literature 1957,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",,,,,,,,,,,,,,,
24,403,1974,Physiology or Medicine,Individual,Albert Claude,male,1898-08-24,Longlier,Longlier,Belgium,Belgium,Europe,1983-05-22,1/3,The Nobel Prize in Physiology or Medicine 1974,for their discoveries concerning the structural and functional organization of the cell,Université Catholique de Louvain,Louvain,Belgium,,,,,,,,,,,,
25,26,1921,Physics,Individual,Albert Einstein,male,1879-03-14,Ulm,Ulm,Germany,Germany,Europe,1955-04-18,1,The Nobel Prize in Physics 1921,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,,,,,,,,,,,,
26,814,2007,Physics,Individual,Albert Fert,male,1938-03-07,Carcassonne,Carcassonne,France,France,Europe,NaN,1/2,The Nobel Prize in Physics 2007,for the discovery of Giant Magnetoresistance,Universit&eacute; Paris-Sud,Orsay,France,Unit&eacute; Mixte de Physique CNRS/THALES,Orsay,France,,,,,,,,,
27,465,1902,Peace,Individual,Charles Albert Gobat,male,1843-05-21,Tramelan,Tramelan,Switzerland,Switzerland,Europe,1914-03-16,1/2,The Nobel Peace Prize 1902,for his eminently practical administration of the Inter-Parliamentary Union,,,,,,,,,,,,,,,
28,519,1960,Peace,Individual,Albert John Lutuli,male,1898-00-00,Bulawayo,Bulawayo,Southern Rhodesia,Zimbabwe,Africa,1967-07-21,1,The Nobel Peace Prize 1960,for his non-violent struggle against apartheid,,,,,,,,,,,,,,,
29,513,1952,Peace,Individual,Albert Schweitzer,male,1875-01-14,Kaysersberg,Kaysersberg,Germany,France,Europe,1965-09-04,1,The Nobel Peace Prize 1952,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",,,,,,,,,,,,,,,
30,332,1937,Physiology or Medicine,Individual,Albert von Szent-Györgyi Nagyrápolt,male,1893-09-16,Budapest,Budapest,Austria-Hungary,Hungary,Europe,1986-10-22,1,The Nobel Prize in Physiology or Medicine 1937,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",Szeged University,Szeged,Hungary,,,,,,,,,,,,
31,304,1910,Physiology or Medicine,Individual,Albrecht Kossel,male,1853-09-16,Rostock,Rostock,Mecklenburg,Germany,Europe,1927-07-05,1,The Nobel Prize in Physiology or Medicine 1910,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",University of Heidelberg,Heidelberg,Germany,,,,,,,,,,,,
32,83,1964,Physics,Individual,Aleksandr Mikhailovich Prokhorov,male,1916-07-11,Atherton,Atherton,Australia,Australia,Oceania,2002-01-08,1/4,The Nobel Prize in Physics 1964,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",P.N. Lebedev Physical Institute,Moscow,Russia,,,,,,,,,,,,
33,644,1970,Literature,Individual,Aleksandr Isayevich Solzhenitsyn,male,1918-12-11,Kislovodsk,Kislovodsk,Russia,Russia,Europe,2008-08-03,1,The Nobel Prize in Literature 1970,for the ethical force with which he has pursued the indispensable traditions of Russian literature,,,,,,,,,,,,,,,
34,1031,2023,Chemistry,Individual,Aleksey Yekimov ,male,1945-00-00,Leningrad,St. Petersburg,USSR,Russia,Europe,NaN,1/3,The Nobel Prize in Chemistry 2023,for the discovery and synthesis of quantum dots,Nanocrystals Technology Inc.,"New York, NY",USA,,,,,,,,,,,,
35,1018,2022,Peace,Individual,Ales Bialiatski ,male,1962-09-25,"Vyartsilya, Karelia","Vyartsilya, Karelia",Russia,Russia,Europe,NaN,1/3,The Nobel Peace Prize 2022,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",,,,,,,,,,,,,,,
36,766,2003,Physics,Individual,Alexei Alexeyevich Abrikosov,male,1928-06-25,Moscow,Moscow,USSR,Russia,Europe,2017-03-29,1/3,The Nobel Prize in Physics 2003,for pioneering contributions to the theory of superconductors and superfluids,Argonne National Laboratory,"Argonne, IL",USA,,,,,,,,,,,,
37,306,1912,Physiology or Medicine,Individual,Alexis Carrel,male,1873-06-28,Sainte-Foy-lès-Lyon,Sainte-Foy-lès-Lyon,France,France,Europe,1944-11-05,1,The Nobel Prize in Physiology or Medicine 1912,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,Rockefeller Institute for Medical Research,"New York, NY",USA,,,,,,,,,,,,
38,544,1982,Peace,Individual,Alfonso García Robles,male,1911-03-20,Zamora,Zamora,Mexico,Mexico,North America,1991-09-02,1/2,The Nobel Peace Prize 1982,for their work for disarmament and nuclear and weapon-free zones,,,,,,,,,,,,,,,
39,392,1969,Physiology or Medicine,Individual,Alfred D. Hershey,male,1908-12-04,"Owosso, MI","Owosso, MI",USA,USA,North America,1997-05-22,1/3,The Nobel Prize in Physiology or Medicine 1969,for their discoveries concerning the replication mechanism and the genetic structure of viruses,Carnegie Institution of Washington,"Long Island, New York, NY",USA,,,,,,,,,,,,
40,479,1911,Peace,Individual,Alfred Hermann Fried,male,1864-11-11,Vienna,Vienna,Austria,Austria,Europe,1921-05-04,1/2,The Nobel Peace Prize 1911,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",,,,,,,,,,,,,,,
41,450,1994,Physiology or Medicine,Individual,Alfred G. Gilman,male,1941-07-01,"New Haven, CT","New Haven, CT",USA,USA,North America,2015-12-23,1/2,The Nobel Prize in Physiology or Medicine 1994,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,,,,,,,,,,,,
42,87,1966,Physics,Individual,Alfred Kastler,male,1902-05-03,Guebwiller,Guebwiller,Germany,France,Europe,1984-01-07,1,The Nobel Prize in Physics 1966,for the discovery and development of optical methods for studying Hertzian resonances in atoms,École Normale Supérieure,Paris,France,,,,,,,,,,,,
43,174,1913,Chemistry,Individual,Alfred Werner,male,1866-12-12,Mulhouse,Mulhouse,France,France,Europe,1919-11-15,1,The Nobel Prize in Chemistry 1913,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,University of Zurich,Zurich,Switzerland,,,,,,,,,,,,
44,892,2013,Literature,Individual,Alice Munro,female,1931-07-10,Wingham,Wingham,Canada,Canada,North America,2024-05-13,1,The Nobel Prize in Literature 2013,master of the contemporary short story,,,,,,,,,,,,,,,
45,417,1979,Physiology or Medicine,Individual,Allan M. Cormack,male,1924-02-23,Johannesburg,Johannesburg,South Africa,South Africa,Africa,1998-05-07,1/2,The Nobel Prize in Physiology or Medicine 1979,for the development of computer assisted tomography,Tufts University,"Medford, MA",USA,,,,,,,,,,,,
46,305,1911,Physiology or Medicine,Individual,Allvar Gullstrand,male,1862-06-05,Landskrona,Landskrona,Sweden,Sweden,Europe,1930-07-28,1,The Nobel Prize in Physiology or Medicine 1911,for his work on the dioptrics of the eye,Uppsala University,Uppsala,Sweden,,,,,,,,,,,,
47,300,1907,Physiology or Medicine,Individual,Charles Louis Alphonse Laveran,male,1845-06-18,Paris,Paris,France,France,Europe,1922-05-18,1,The Nobel Prize in Physiology or Medicine 1907,in recognition of his work on the role played by protozoa in causing diseases,Institut Pasteur,Paris,France,,,,,,,,,,,,
48,543,1982,Peace,Individual,Alva Myrdal,female,1902-01-31,Uppsala,Uppsala,Sweden,Sweden,Europe,1986-02-01,1/2,The Nobel Peace Prize 1982,for their work for disarmament and nuclear and weapon-free zones,,,,,,,,,,,,,,,
49,882,2012,Economic Sciences,Individual,Alvin E. Roth,male,1951-12-18,"New York, NY","New York, NY",USA,USA,North America,NaN,1/2,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2012,for the theory of stable allocations and the practice of market design,Harvard University,"Cambridge, MA",USA,Harvard Business School,"Boston, MA",USA,,,,,,,,,
50,719,1998,Economic Sciences,Individual,Amartya Sen,male,1933-11-03,Santiniketan,Santiniketan,India,India,Asia,NaN,1,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1998,for his contributions to welfare economics,Trinity College,Cambridge,United Kingdom,,,,,,,,,,,,
51,509,1947,Peace,Organization,American Friends Service Committee,,,,,,,,,1/2,The Nobel Peace Prize 1947,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",,,,,,,"Washington, D.C.",USA,North America,,,,,,
52,537,1977,Peace,Organization,Amnesty International,,,,,,,,,1,The Nobel Peace Prize 1977,for worldwide respect for human rights,,,,,,,London,United Kingdom,Europe,,,,,,
53,590,1921,Literature,Individual,Anatole France,male,1844-04-16,Paris,Paris,France,France,Europe,1924-10-12,1,The Nobel Prize in Literature 1921,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",,,,,,,,,,,,,,,
54,360,1956,Physiology or Medicine,Individual,André Frédéric Cournand,male,1895-09-24,Paris,Paris,France,France,Europe,1988-02-19,1/3,The Nobel Prize in Physiology or Medicine 1956,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",USA,,,,,,,,,,,,
55,849,2010,Physics,Individual,Andre Geim,male,1958-10-21,Sochi,Sochi,Russia,Russia,Europe,NaN,1/2,The Nobel Prize in Physics 2010,for groundbreaking experiments regarding the two-dimensional material graphene,University of Manchester,Manchester,United Kingdom,,,,,,,,,,,,
56,618,1947,Literature,Individual,André Paul Guillaume Gide,male,1869-11-22,Paris,Paris,France,France,Europe,1951-02-19,1,The Nobel Prize in Literature 1947,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",,,,,,,,,,,,,,,
57,381,1965,Physiology or Medicine,Individual,André Lwoff,male,1902-05-08,Ainay-le-Château,Ainay-le-Château,France,France,Europe,1994-09-30,1/3,The Nobel Prize in Physiology or Medicine 1965,for their discoveries concerning genetic control of enzyme and virus synthesis,Institut Pasteur,Paris,France,,,,,,,,,,,,
58,990,2020,Physics,Individual,Andrea Ghez,female,1965-06-16,"New York, NY","New York, NY",USA,USA,North America,NaN,1/4,The Nobel Prize in Physics 2020,for the discovery of a supermassive compact object at the centre of our galaxy,University of California,"Los Angeles, CA",USA,,,,,,,,,,,,
59,534,1975,Peace,Individual,Andrei Dmitrievich Sakharov,male,1921-05-21,Moscow,Moscow,Russia,Russia,Europe,1989-12-14,1,The Nobel Peace Prize 1975,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",,,,,,,,,,,,,,,
60,377,1963,Physiology or Medicine,Individual,Andrew Fielding Huxley,male,1917-11-22,Hampstead,Hampstead,United Kingdom,United Kingdom,Europe,2012-05-30,1/3,The Nobel Prize in Physiology or Medicine 1963,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,University College,London,United Kingdom,,,,,,,,,,,,
61,412,1977,Physiology or Medicine,Individual,Andrew V. Schally,male,1926-11-30,Wilno,Vilnius,Poland,Lithuania,Europe,2024-10-17,1/4,The Nobel Prize in Physiology or Medicine 1977,for their discoveries concerning the peptide hormone production of the brain,Veterans Administration Hospital,"New Orleans, LA",USA,,,,,,,,,,,,
62,802,2006,Physiology or Medicine,Individual,Andrew Z. Fire,male,1959-04-27,"Stanford, CA","Stanford, CA",USA,USA,North America,NaN,1/2,The Nobel Prize in Physiology or Medicine 2006,for their discovery of RNA interference - gene silencing by double-stranded RNA,Stanford University School of Medicine,"Stanford, CA",USA,,,,,,,,,,,,
63,926,2015,Economic Sciences,Individual,Angus Deaton,male,1945-10-19,Edinburgh,Edinburgh,Scotland,Scotland,Europe,NaN,1,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2015,"for his analysis of consumption, poverty, and welfare",Princeton University,"Princeton, NJ",USA,,,,,,,,,,,,
64,1028,2023,Physics,Individual,Anne L’Huillier,female,1958-08-16,Paris,Paris,France,France,Europe,NaN,1/3,The Nobel Prize in Physics 2023,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Lund University,Lund,Sweden,,,,,,,,,,,,
65,1017,2022,Literature,Individual,Annie Ernaux,female,1940-09-01,Lillebonne,Lillebonne,France,France,Europe,NaN,1,The Nobel Prize in Literature 2022,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",,,,,,,,,,,,,,,
66,768,2003,Physics,Individual,Anthony J. Leggett,male,1938-03-26,London,London,United Kingdom,United Kingdom,Europe,NaN,1/3,The Nobel Prize in Physics 2003,for pioneering contributions to the theory of superconductors and superfluids,University of Illinois,"Urbana, IL",USA,,,,,,,,,,,,
67,1014,2022,Physics,Individual,Anton Zeilinger,male,1945-05-20,Ried im Innkreis,Ried im Innkreis,Austria,Austria,Europe,NaN,1/3,The Nobel Prize in Physics 2022,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",University of Vienna,Vienna,Austria,"Institute for Quantum Optics and Quantum Information, Austrian Academy of Sciences",Vienna,Austria,,,,,,,,,
68,101,1974,Physics,Individual,Antony Hewish,male,1924-05-11,Fowey,Fowey,United Kingdom,United Kingdom,Europe,2021-09-13,1/2,The Nobel Prize in Physics 1974,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",University of Cambridge,Cambridge,United Kingdom,,,,,,,,,,,,
69,538,1978,Peace,Individual,Mohamed Anwar al-Sadat,male,1918-12-25,Mit Abu al-Kawm,Mit Abu al-Kawm,Egypt,Egypt,Africa,1981-10-06,1/2,The Nobel Peace Prize 1978,for jointly having negotiated peace between Egypt and Israel in 1978,,,,,,,,,,,,,,,
70,214,1952,Chemistry,Individual,Archer John Porter Martin,male,1910-03-01,London,London,United Kingdom,United Kingdom,Europe,2002-07-28,1/2,The Nobel Prize in Chemistry 1952,for their invention of partition chromatography,National Institute for Medical Research,London,United Kingdom,,,,,,,,,,,,
71,311,1922,Physiology or Medicine,Individual,Archibald Vivian Hill,male,1886-09-26,Bristol,Bristol,United Kingdom,United Kingdom,Europe,1977-06-03,1/2,The Nobel Prize in Physiology or Medicine 1922,for his discovery relating to the production of heat in the muscle,London University,London,United Kingdom,,,,,,,,,,,,
